Observation_id,Phase,Behaviour,Behavioural_category,Modifier,Point_Event_Count
Ballantine_FRF_26102022_0947,Silence_3,FVO,Reaction,Distance,3
Ballantine_FRF_26102022_0947,Silence_3,FVO,Reaction,Other,2
Ballantine_FRF_26102022_0947,Silence_3,Look,Reaction,Away from speaker,2
Ballantine_FRP_23102022_0910,Dishabituation,Agn,Interaction,Towards other,3
Ballantine_FRP_23102022_0910,Dishabituation,FVO,Reaction,Distance,1
Ballantine_FRP_23102022_0910,Dishabituation,FVO,Reaction,Other,8
Ballantine_FRP_23102022_0910,Dishabituation,Fllw,Interaction,Kin,1
Ballantine_FRP_23102022_0910,Dishabituation,Look,Reaction,Away from speaker,11
Ballantine_FRP_23102022_0910,Habituation,Agn,Interaction,Towards other,6
Ballantine_FRP_23102022_0910,Habituation,FVO,Reaction,Other,4
Ballantine_FRP_23102022_0910,Habituation,Fllw,Interaction,Kin,1
Ballantine_FRP_23102022_0910,Habituation,HSH,Reaction,None,6
Ballantine_FRP_23102022_0910,Habituation,Htlt,Reaction,None,2
Ballantine_FRP_23102022_0910,Habituation,Look,Reaction,At speaker,18
Ballantine_FRP_23102022_0910,Habituation,Look,Reaction,Away from speaker,36
Ballantine_FRP_23102022_0910,Habituation,Voc,Reaction,Contact,3
Ballantine_FRP_23102022_0910,Silence_1,Agn,Interaction,Towards other,1
Ballantine_FRP_23102022_0910,Silence_1,Fllw,Interaction,Kin,1
Ballantine_FRP_23102022_0910,Silence_1,HSH,Reaction,None,1
Ballantine_FRP_23102022_0910,Silence_1,Htlt,Reaction,None,1
Ballantine_FRP_23102022_0910,Silence_1,Look,Reaction,At speaker,12
Ballantine_FRP_23102022_0910,Silence_1,Look,Reaction,Away from speaker,21
Ballantine_FRP_23102022_0910,Silence_1,Voc,Reaction,Contact,1
Ballantine_FRP_23102022_0910,Silence_2,FVO,Reaction,Distance,2
Ballantine_FRP_23102022_0910,Silence_2,HSH,Reaction,None,2
Ballantine_FRP_23102022_0910,Silence_2,Look,Reaction,At speaker,5
Ballantine_FRP_23102022_0910,Silence_2,Look,Reaction,Away from speaker,13
Ballantine_FRP_23102022_0910,Silence_3,FVO,Reaction,Other,1
Ballantine_FRP_23102022_0910,Silence_3,Htlt,Reaction,None,1
Ballantine_FRP_23102022_0910,Silence_3,Look,Reaction,At speaker,1
Ballantine_FRP_23102022_0910,Silence_3,Look,Reaction,Away from speaker,14
Ballantine_FRP_23102022_0910,Silence_3,Voc,Reaction,Contact,4
Ballantine_PRF_17112022_0947,Dishabituation,FVO,Reaction,Distance,9
Ballantine_PRF_17112022_0947,Dishabituation,Look,Reaction,At speaker,12
Ballantine_PRF_17112022_0947,Dishabituation,Look,Reaction,Away from speaker,2
Ballantine_PRF_17112022_0947,Dishabituation,Voc,Reaction,Contact,7
Ballantine_PRF_17112022_0947,Habituation,Agn,Interaction,Towards other,1
Ballantine_PRF_17112022_0947,Habituation,FVO,Reaction,Distance,13
Ballantine_PRF_17112022_0947,Habituation,FVO,Reaction,Other,15
Ballantine_PRF_17112022_0947,Habituation,Look,Reaction,At speaker,14
