Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	274.16	H:/Individual recognition vids/Blind videos/RU53.MP4	6854	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	275.56	H:/Individual recognition vids/Blind videos/RU53.MP4	6889	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		FVO	Reaction	Distance	POINT	275.84	H:/Individual recognition vids/Blind videos/RU53.MP4	6896	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		FVO	Reaction	Distance	POINT	277.6	H:/Individual recognition vids/Blind videos/RU53.MP4	6940	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	278.24	H:/Individual recognition vids/Blind videos/RU53.MP4	6956	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		FVO	Reaction	Distance	POINT	280.88	H:/Individual recognition vids/Blind videos/RU53.MP4	7022	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	282.68	H:/Individual recognition vids/Blind videos/RU53.MP4	7067	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	284.96	H:/Individual recognition vids/Blind videos/RU53.MP4	7124	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	286.36	H:/Individual recognition vids/Blind videos/RU53.MP4	7159	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Voc	Reaction	Contact	POINT	286.36	H:/Individual recognition vids/Blind videos/RU53.MP4	7159	NA
